transaction_id,customer_id,timestamp,amount,currency,merchant_mcc,merchant_category,swift_bank,card_type,entry_mode,channel,location_country,continent,location_city,distance_from_home_km,device_id,ip_address,velocity_1h,velocity_24h,is_fraud_actual
TXN_0002737,CUST_00661,2026-05-07 21:39:47,11.07,AED,MCC 4722: Travel Agencies & Airline Ticketing,Travel & Aviation,"CITIUS33 (Citibank, N.A.)",Amex Centurion,Online (CNP),SWIFT Network,FR,Europe,FR_Metro_2,2.5,DEV_0211,102.21.139.31,2,7,0
TXN_0001969,CUST_00019,2026-05-07 22:36:50,59.52,EUR,MCC 6051: Virtual Currency & Crypto Exchanges,Crypto & Virtual Assets,"MUFGJPJT (MUFG Bank, Ltd.)",Mastercard World Elite,Online (CNP),ATM Network,BR,Latin America,BR_Metro_3,9.5,DEV_0503,162.165.211.198,2,3,0
TXN_0000212,CUST_00563,2026-05-07 23:54:46,53.54,CNY,MCC 5732: Consumer Electronics & Computing,Electronics & Tech,BARCGB22 (Barclays Bank PLC),Amex Centurion,Chip & PIN,Web Gateway,EG,Middle East & Africa,EG_Metro_2,2.8,DEV_1148,206.242.186.184,2,6,0
TXN_0012057,CUST_00165,2026-05-08 00:59:22,41.71,AUD,MCC 4829: Wire Transfer & Money Orders,Cross-Border Remittance,"MUFGJPJT (MUFG Bank, Ltd.)",Amex Centurion,Chip & PIN,Web Gateway,CN,Asia-Pacific,CN_Metro_4,28.4,DEV_0682,136.170.228.4,1,1,0
TXN_0000489,CUST_00755,2026-05-08 02:05:51,85.09,CAD,MCC 5411: Supermarkets & Wholesale Grocery,Grocery & Supermarkets,BNPAFRPP (BNP Paribas S.A.),Amex Centurion,Contactless 3DS,ATM Network,CO,Latin America,CO_Metro_5,20.6,DEV_0219,111.4.235.81,3,4,0
TXN_0002638,CUST_00267,2026-05-08 02:44:03,25.89,CAD,MCC 4829: Wire Transfer & Money Orders,Cross-Border Remittance,DEUTDEFF (Deutsche Bank AG),Visa Infinite,Contactless 3DS,SWIFT Network,NL,Europe,NL_Metro_1,27.8,DEV_0857,219.182.220.247,1,3,0
TXN_0013331,CUST_00164,2026-05-08 02:51:53,174.28,JPY,MCC 5411: Supermarkets & Wholesale Grocery,Grocery & Supermarkets,HSBCUK21 (HSBC Bank plc),Corporate Platinum,ISO 8583 API,ATM Network,CN,Asia-Pacific,CN_Metro_3,22.9,DEV_0620,212.176.67.75,1,5,0
TXN_0008588,CUST_00205,2026-05-08 04:19:07,57.37,AUD,MCC 4722: Travel Agencies & Airline Ticketing,Travel & Aviation,"CHASUS33 (JPMorgan Chase Bank, N.A.)",Mastercard World Elite,EMV Contactless,POS Terminal,ZA,Middle East & Africa,ZA_Metro_4,32.6,DEV_0502,47.126.225.46,1,3,0
TXN_0001608,CUST_00798,2026-05-08 05:39:01,24.94,GBP,MCC 6051: Virtual Currency & Crypto Exchanges,Crypto & Virtual Assets,DEUTDEFF (Deutsche Bank AG),Visa Infinite,Chip & PIN,ATM Network,HK,Asia-Pacific,HK_Metro_4,7.2,DEV_1368,176.215.228.118,3,6,0
TXN_0000787,CUST_00953,2026-05-08 05:41:57,19.75,USD,MCC 5944: Luxury Jewelry & Watch Merchants,Jewelry & Luxury,"CITIUS33 (Citibank, N.A.)",Amex Centurion,Contactless 3DS,Mobile Banking App,KR,Asia-Pacific,KR_Metro_3,13.5,DEV_0856,177.11.152.198,1,5,0
